customer,client
account,compte
login,connexion
logout,deconnexion
create,creer
address,adresses
edit,modifier
wishlist,liste-de-souhaits
sales,ventes
order,commande
history,historique
forgotpassword,mot-de-passe-oublie
catalogsearch,recherche-catalog
result,resultat
advanced,avancee
search,recherche
term,terme
popular,populaire
checkout,caisse
cart,panier
storecredit,credit-boutique
giftcard,carte-cadeau
giftregistry,registre-cadeaux
review,avis
newsletter,infolettre
manage,gerer
customer_order,commande-client
changepass,modifier-mot-de-passe
view,voir
print,imprimer
invoice,facture
creditmemo,remboursement
shipping,livraison
productalert,alerte-produit
add,ajouter
catalog,catalogue
product_compare,comparer_produit
guest,invite
remove,supprimer